Minisector,LAW,HAD,Fastest
0,292.5314880850069,300.5472787591837,HAD
1,299.3582954181818,310.76151997380117,HAD
2,236.21486784288405,231.0392199783619,LAW
3,117.1438915350671,158.7283908799176,HAD
4,135.72720712862935,158.0,HAD
5,255.80172920329755,182.55348790995671,LAW
6,252.23140068848485,268.5317741752066,HAD
7,126.38131101771118,154.00324219042957,HAD
8,242.510597857094,181.09054722846565,LAW
9,244.13285014186667,247.42432390015966,HAD
10,204.11289828151226,238.27808645501165,HAD
11,142.46081147592827,173.7594144939209,HAD
12,208.9197906793651,132.3094205986419,LAW
13,256.0443020488931,246.0356487678596,LAW
14,118.23748060837865,175.13944990702365,HAD
15,181.716158768153,121.37707460100951,LAW
16,264.1950646866818,225.9354526978997,LAW
17,308.24027864045445,285.6773619829987,LAW
18,322.2389611082251,325.13808758687657,HAD
19,321.36838249411767,335.8435863810097,HAD
20,311.84878771435115,328.07000136973545,HAD
21,169.66586179750917,316.1655158091811,HAD
22,143.18945196133126,116.5430047840948,LAW
23,183.15605620666196,208.15271617993542,HAD
24,247.9695896184127,181.58421839003663,LAW
25,,261.33539951084174,HAD
