Minisector,HAM,VER,Fastest
0,261.7063930095161,258.698877374359,HAM
1,216.35432116989247,242.1417234103387,VER
2,141.0577426816193,145.83753516501605,VER
3,230.10735023893002,238.7638242778414,VER
4,269.33421733052717,268.66135679390476,HAM
5,179.4951715273049,189.67848779636992,VER
6,99.80420220969494,103.8903131225126,VER
7,136.12415267396324,124.53783801781557,HAM
8,248.21667628464013,246.03256874555166,HAM
9,163.54508503826548,171.07443514748775,VER
10,183.91286087406635,189.3051943783957,VER
11,253.99272339004102,256.99503163076923,VER
12,234.16182269162562,248.82086871748737,VER
13,251.30990791991533,264.54773778285715,VER
14,279.12323336811596,280.91576064927534,VER
15,264.7504620355624,273.6287106003552,VER
16,141.32097813173547,144.6612021527617,VER
17,232.0618028586884,237.37696307809523,VER
18,278.93904751701865,277.43172410389326,HAM
19,290.7713767884058,286.19207905605356,HAM
20,295.06159411014494,288.3403347812483,HAM
21,300.83829363809525,287.8337949836047,HAM
22,148.51642731731155,141.3132732668845,HAM
23,84.79528129856695,83.44816634260255,HAM
24,168.27287129174152,165.05794657815443,HAM
25,241.88333226666666,,HAM
