Minisector,SAI,GAS,Fastest
0,289.7887316785708,294.08921079780663,GAS
1,245.6184971634568,234.41540364811286,SAI
2,130.11966502225917,132.15835970696827,GAS
3,238.46545921325702,237.62605079034628,SAI
4,188.53221871422443,182.67757015896973,SAI
5,251.58824452022836,235.1677275081204,SAI
6,240.16540428342026,221.72988086830944,SAI
7,251.7720232925836,244.6228171238095,SAI
8,280.5749485221978,281.39508684384,GAS
9,205.53324418222172,206.88509996396397,GAS
10,200.092534887092,196.31486035151795,SAI
11,269.4866069265306,266.65530739149204,SAI
12,207.74006791222308,207.74923878308243,GAS
13,251.82408006876085,243.4005636569677,SAI
14,288.5587712853837,285.2099234830688,SAI
15,302.4702980888889,300.7318551271512,SAI
16,301.73343771555557,302.2531593904762,GAS
17,237.660145884329,230.80399852536178,SAI
18,267.4881232885197,263.8101679865201,SAI
19,293.8115804814815,291.1535363441795,SAI
20,304.9969787885714,304.4185231220897,SAI
21,301.72865522274174,305.1056953047895,GAS
22,157.18959309640633,152.27161598035158,SAI
23,230.97104592946127,229.14414014008332,SAI
24,280.72773634058626,278.03523718962964,SAI
25,,287.8937504,GAS
