Minisector,HAM,PIA,Fastest
0,315.50515737560215,314.2054420209606,HAM
1,312.480654552381,309.64751586871796,HAM
2,159.68606493180633,156.9437824515193,HAM
3,162.60511095014778,161.53675195593152,HAM
4,197.5767053848456,203.6902899178939,PIA
5,149.26025359027292,157.70311338666457,PIA
6,206.40820559979386,207.7686941060565,PIA
7,275.69003931396605,272.96044768778876,HAM
8,290.05055549155554,291.26173498560377,PIA
9,282.17710584805155,281.83135954040404,HAM
10,245.56514713263158,243.49657456995334,HAM
11,243.0980661425655,248.02639557099488,PIA
12,223.86380942682513,219.50163583135847,HAM
13,173.1380465025948,177.06800077564677,PIA
14,141.4337334174615,136.91992501362336,HAM
15,130.62199874554787,132.66515031130578,PIA
16,199.22991271198654,203.8506256451505,PIA
17,265.7191885893558,271.4032569402645,PIA
18,196.5410515845792,214.8497115033655,PIA
19,114.88065453870193,114.7627888737766,HAM
20,207.80786391622559,209.06176846044,PIA
21,186.04231637611122,188.2762919140213,PIA
22,246.15830289590644,243.48297367596757,HAM
23,277.3799006711834,280.5715859805519,PIA
24,303.0748725587954,305.762302687492,PIA
25,314.1250005333333,316.0,PIA
