Minisector,VER,RUS,Fastest
0,291.5421192389417,287.6989599613518,VER
1,303.06282283318563,299.2642946285443,VER
2,308.19947701125545,303.384603290236,VER
3,309.5580247308642,303.9527479525926,VER
4,204.03522786349205,189.05411425734786,VER
5,213.41766691294782,215.66896057791035,RUS
6,264.6188975987586,264.8325249942857,RUS
7,270.6604552290899,256.21837500337386,VER
8,191.95796896218744,180.66879398170488,VER
9,156.25803784534932,150.44807664354337,VER
10,186.10747599938696,180.75570968561593,VER
11,258.87895426053313,255.42707244071738,VER
12,253.865617442643,248.55605722691317,VER
13,230.91774928422362,225.6845149348148,VER
14,272.35922128269675,266.04995335434523,VER
15,164.69973681265225,164.56142657596962,VER
16,215.25850129628867,210.66558804020806,VER
17,241.53443641154325,233.8825087930736,VER
18,137.18489649543858,127.95860458528138,VER
19,237.17157252551112,237.92618665928853,RUS
20,276.7473985077414,274.6626460744589,VER
21,246.36963471559284,251.04225483277216,RUS
22,142.8267935401888,136.88015760117642,VER
23,213.0007978353131,204.34358803862773,VER
24,268.6408946303548,266.7735846026489,VER
25,282.47142765714284,280.75000177777775,VER
