Minisector,HUL,VET,Fastest
0,279.298248012403,278.3952726510947,HUL
1,294.97125008,295.85768951150317,VET
2,236.66040678603534,233.62115223288555,HUL
3,115.68537570420169,115.71665541666941,VET
4,136.44071250852713,134.3917652825397,HUL
5,249.62218874418238,248.20312484444446,HUL
6,257.49478924444446,255.96503638260867,HUL
7,124.60818570739947,125.38921182163705,VET
8,245.2278991304348,246.62362845548654,VET
9,261.0601952418199,249.38861615238093,HUL
10,210.459556958036,205.55818942528737,HUL
11,143.91516426183873,137.89978759909297,HUL
12,206.99562848472908,206.91348314398013,HUL
13,264.5781925333333,263.0515787925466,HUL
14,118.95971008260938,116.03878204249084,HUL
15,191.58427262392556,187.44322361561964,HUL
16,257.2504823776266,255.10942042898552,HUL
17,287.4692461641723,288.7774802008246,VET
18,299.9300439578947,305.58728061754385,VET
19,303.61864039298246,313.2955358171429,VET
20,307.0616118229998,317.4213237249904,VET
21,173.15974597675617,156.62509329693697,HUL
22,143.10500133333332,155.53942774954643,VET
23,205.64118431067368,197.52728287231704,HUL
24,237.4343345066667,235.26545895466668,HUL
25,266.01659855939033,,HUL
