Minisector,LEC,HAM,Fastest
0,290.3844357527841,295.4111663869804,HAM
1,144.64473335025906,147.27377355340806,HAM
2,227.21093906532468,223.4939439963186,LEC
3,285.8270212795601,280.73313044462583,LEC
4,323.9042345084807,313.4246593575287,LEC
5,309.9279657212121,303.56120996502165,LEC
6,150.06175224990093,149.95021227934396,LEC
7,245.89711528463306,253.6158394805091,HAM
8,108.934485176865,115.38162817180917,HAM
9,174.08665910164376,171.74931557410116,LEC
10,278.97860224444446,278.75226787613275,LEC
11,301.48736281998936,303.9564501888949,HAM
12,204.44467097791082,208.0783652102876,HAM
13,172.59350037191734,177.7836887242369,HAM
14,281.3932369748623,281.9105364115237,HAM
15,312.6948468256992,314.21959080137117,HAM
16,327.76952377720056,327.8394865080277,HAM
17,337.18636162590474,334.8199318048881,LEC
18,349.34803939047623,338.26306348583046,LEC
19,351.0091911529412,339.81628843431224,LEC
20,196.36895327780024,187.91005259224738,LEC
21,181.97314808127905,172.11082759169787,LEC
22,280.6893180360741,277.84615823280427,LEC
23,313.6434757879042,313.564732406576,LEC
24,324.3926438372063,326.126106936675,HAM
25,,326.16666666666663,HAM
