Minisector,PER,SAI,Fastest
0,302.64079548657077,293.8499419160248,PER
1,155.039626305775,157.33382892790135,SAI
2,147.25844215361064,153.9921448879336,SAI
3,225.4460640590912,222.67616004481832,PER
4,287.6151578629095,285.0616973082844,PER
5,290.6814715398347,296.40199408087904,SAI
6,141.15322342423335,152.59238339768748,SAI
7,141.96428748914244,138.2638284651514,PER
8,144.4972546646634,153.17378090731924,SAI
9,185.86141092519284,175.73962235555584,PER
10,126.47965323294484,138.72279850905267,SAI
11,134.01803228170377,130.8318705953192,PER
12,159.1155727659925,147.20534994574,PER
13,268.3196016,265.8799007464458,PER
14,291.5655328872727,293.38595872986485,SAI
15,153.67033619285465,153.09964595945797,PER
16,198.3857854004535,213.12677787905724,SAI
17,169.6176796624409,164.79124811882292,PER
18,271.22630585778086,268.33138946266826,PER
19,295.9567183610582,294.4724316699586,PER
20,311.12344105187304,306.9881273201127,PER
21,319.3966228710559,315.35291680533334,PER
22,323.47604169356725,320.27154274158727,PER
23,325.89923274816056,323.07729176533337,PER
24,326.56804686,324.4136507732162,PER
25,327.0,323.34249984,PER
