Minisector,PIA,MAG,Fastest
0,289.38222248296296,300.6930182269388,MAG
1,296.52481834713444,311.39634779076925,MAG
2,167.51651496320832,157.2254763052101,PIA
3,221.87008159815628,214.11558926524413,PIA
4,270.53243821883194,280.41659633333336,MAG
5,292.8957123413333,307.11055643697483,MAG
6,297.5039356444444,319.2457144990476,MAG
7,174.9564614908121,162.58732593982592,PIA
8,124.4025971723034,119.73342521916713,PIA
9,250.1613565511111,248.12629363809523,PIA
10,288.68512991525733,296.44289700050876,MAG
11,300.6843866495548,310.4141965924233,MAG
12,146.20685438203333,139.01468788448074,PIA
13,193.0973128752171,187.25865845343915,PIA
14,254.26812698324883,253.19485376533333,PIA
15,200.57119039459573,190.45925072996337,PIA
16,216.9397613277091,201.59653010490496,PIA
17,214.95714614760686,199.9753065976889,PIA
18,243.70749363580953,232.57690272,PIA
19,279.10839557078054,272.73312803151464,PIA
20,296.3451781746939,293.89233107238095,PIA
21,264.41037382858417,254.44618367558897,PIA
22,226.34527375447993,210.55658849231276,PIA
23,203.92102048979592,197.651503188937,PIA
24,263.2673698976312,266.6394531396949,MAG
