Minisector,VER,RUS,Fastest
0,268.81765170072384,274.15214708844377,RUS
1,294.8557202996115,308.4852278630065,RUS
2,311.6233009188991,322.9107841172747,RUS
3,318.66112169025644,332.69482970151176,RUS
4,324.0143612676923,337.8903569980952,RUS
5,323.72265645,340.8097833943178,RUS
6,204.42042483286207,196.17576457355088,VER
7,103.13087323667428,105.9916045990626,RUS
8,182.1011543642328,188.33887368989153,RUS
9,257.9886363649732,262.4194090321085,RUS
10,286.88028461414143,297.6313982501842,RUS
11,160.3969177676055,170.52137027094693,RUS
12,96.08736592198058,97.54872625979044,RUS
13,113.99616628118254,122.85459243472587,RUS
14,219.45099060548563,223.08647185552155,RUS
15,184.25539787973855,186.78938316413212,RUS
16,218.7516377880129,227.33190281544253,RUS
17,174.86301705003956,181.58203217428573,RUS
18,228.67888099690234,240.77537076210524,RUS
19,274.4207338948776,280.6857785566955,RUS
20,239.3307679847619,248.3190542717845,RUS
21,145.17240175317025,145.11325265767192,VER
22,98.13204428611672,96.14935832703786,VER
23,122.68240458822955,127.27766929563036,RUS
24,223.06943569661826,223.61800745846156,RUS
25,252.65,244.0,VER
