Minisector,SAI,LAW,Fastest
0,247.15453861241258,251.77510245260385,LAW
1,286.8930103038233,285.6789547857875,SAI
2,166.4676790421469,169.416674205059,LAW
3,159.45425995878787,142.17929653946362,SAI
4,255.46152237184265,257.48038379282053,LAW
5,275.1168933555748,272.0615505030491,SAI
6,234.17870463746033,236.17754031989418,LAW
7,208.69356090279544,212.24727332703242,LAW
8,162.79408145855288,163.7557172895253,LAW
9,215.34024954223997,215.573942945791,LAW
10,271.9968517098901,268.22015591999997,SAI
11,128.85948813232952,134.19158577250374,LAW
12,216.36971739539146,203.55355620774603,SAI
13,275.9495076774603,273.456883487361,SAI
14,299.8897729015208,296.78834045567254,SAI
15,312.99380770652556,307.53575576419047,SAI
16,244.99799601730106,246.89275500125487,LAW
17,129.37501696720247,127.41783805268592,SAI
18,132.11086870278956,132.53990098573868,LAW
19,120.82304190717315,115.99904092752833,SAI
20,228.35134019425982,226.13408594813185,SAI
21,255.60452180395603,260.2358884871111,LAW
22,244.71109424513332,240.0836434358857,SAI
23,219.1209002454422,216.3571431044548,SAI
24,139.43052260592336,141.04564826493737,LAW
25,219.8,,SAI
