Minisector,GAS,PER,Fastest
0,261.1467705426046,257.2991298703107,GAS
1,131.62571075571017,133.57427434358985,PER
2,268.5934884675742,261.749608,GAS
3,314.49510574391536,305.47249314462647,GAS
4,315.01067000558334,304.0526149115646,GAS
5,324.8307318857143,312.8641352507688,GAS
6,331.2264660246914,318.0338139487179,GAS
7,325.3183121623745,312.8728616409171,GAS
8,188.9228028656861,204.81831697364342,PER
9,193.21116125658045,189.82006071011554,GAS
10,183.6216889714286,190.53294597954547,PER
11,166.3078068376814,163.82518117092167,GAS
12,252.08797390394835,247.4615531742297,GAS
13,272.5351563,283.33618963789974,PER
14,277.1887304775372,279.256013635468,PER
15,274.7259106,276.84181359975423,PER
16,183.6622372914346,182.31339656039833,GAS
17,191.85340074901833,193.36822043119682,PER
18,243.42457310022706,232.08484587537416,GAS
19,288.39142857142855,281.9502533646247,GAS
20,311.63281803139034,305.1607139809524,GAS
21,319.1598765432099,315.43350563944375,GAS
22,308.17421143552247,315.38428572038094,PER
23,258.4336477390435,277.6456270162029,PER
24,116.8077812445155,112.4232305326777,GAS
25,,224.0,PER
