Minisector,BOT,STR,Fastest
0,257.5410717688013,262.14066140164203,STR
1,140.9123370776124,134.17818085779967,BOT
2,261.8569467945739,266.3314360739089,STR
3,306.62270940661745,312.3684397349206,STR
4,305.83177106666665,312.26045959932037,STR
5,312.03033335466665,320.55922603636367,STR
6,317.6786232115942,327.3314236,STR
7,316.9902469660447,326.0949276753623,STR
8,216.1672957965288,195.286695805194,BOT
9,198.25240702385707,185.1215763542857,BOT
10,195.4543499205199,186.072802002591,BOT
11,163.98497008029975,163.85059436021163,BOT
12,247.44748414623658,251.19636284501888,STR
13,281.8740744691358,277.46183892204584,BOT
14,279.8603395160494,279.10968200142884,BOT
15,285.2511230769231,278.1308647407715,BOT
16,194.0387066105263,180.89058949297052,BOT
17,198.45441348854828,189.36019594236873,BOT
18,238.48591043932413,235.39166471200156,BOT
19,286.61967210735446,286.5880582963725,BOT
20,306.89308018835976,312.96489933168124,STR
21,313.3071428266667,321.52021096450216,STR
22,310.67552092063494,319.7422360248447,STR
23,271.58330819679003,266.3475611638752,BOT
24,115.09628635079514,113.57355195487614,BOT
25,226.5749952,,BOT
