Minisector,RIC,HUL,Fastest
0,282.29629777777774,289.1618788510363,HUL
1,129.621403562477,138.03632657924163,HUL
2,167.62634856208163,137.75434952707246,RIC
3,223.36729226666665,231.00473630311143,HUL
4,170.31273782623765,159.27206853130903,RIC
5,246.38662640072985,238.04122683508774,RIC
6,219.66704766060604,232.58453959183672,HUL
7,139.23211178719222,130.4537281824192,RIC
8,235.69669990893289,223.91275565987453,RIC
9,275.87328409635853,271.4849818222222,RIC
10,278.68578560000003,288.1669042447348,HUL
11,146.74455863988547,157.25799752634921,HUL
12,223.31422958951515,208.1181114900037,RIC
13,269.96966708891733,264.38466304537815,RIC
14,270.73235312941176,280.2824612014482,HUL
15,106.71908880653383,105.28722527234387,RIC
16,220.74395749391502,203.47004171724876,RIC
17,273.71214307220976,264.75617893781515,RIC
18,294.5319841930159,291.2093746,RIC
19,304.72281098140905,301.99419217787454,RIC
20,310.099000010898,308.92944433777774,RIC
21,292.5174098,301.9578142,HUL
22,159.39902986666667,156.30129462643552,RIC
23,237.9640354245614,224.80291487999997,RIC
24,279.8270760309385,273.34149503276706,RIC
25,291.03333333333336,285.2166656,RIC
