Minisector,LEC,ALO,Fastest
0,321.8195388016133,303.2877589555073,LEC
1,221.72922465190084,215.88595791227053,LEC
2,133.69624667870195,131.2421071079162,LEC
3,217.58476807064935,218.78494396919788,ALO
4,262.5077793643932,264.286870075739,ALO
5,292.754895056201,288.69006099666666,LEC
6,311.50829569357575,295.6538807508497,LEC
7,274.2069015594987,266.706467751134,LEC
8,161.77081539819795,171.91895873036395,ALO
9,238.64852592429835,240.38311140567924,ALO
10,273.3450472358399,267.7523563613893,LEC
11,252.5161198240363,264.5325995209876,ALO
12,192.32422850862648,207.02186212126148,ALO
13,114.675891954967,126.94439685694236,ALO
14,120.17624303752177,123.49090558822385,ALO
15,145.77470383612254,160.97137172817867,ALO
16,133.83842966870262,123.17550473196324,LEC
17,235.91812450913955,226.50242732946532,LEC
18,167.01589051028813,175.53786072782248,ALO
19,168.68883699739885,158.79925488583459,LEC
20,245.69494779988793,243.09417948549017,LEC
21,275.9901871605636,271.1080684550678,LEC
22,298.6274219329293,292.7433243972362,LEC
23,315.88986122666665,312.34130318933336,LEC
24,326.63845682315593,323.27148432285713,LEC
25,,327.0,ALO
