Minisector,ALO,HAM,Fastest
0,250.07524804883704,252.82662749767223,HAM
1,215.79472929807292,210.89177278801142,ALO
2,205.49907538139107,200.70453338600996,ALO
3,260.3254386767148,253.69504388694017,ALO
4,274.4084656572618,266.47211077095005,ALO
5,289.9088754061396,284.4718488709357,ALO
6,158.666559068585,163.88148381882576,HAM
7,182.88894888061932,180.12794124639612,ALO
8,266.6307587885714,272.6645322847118,HAM
9,293.185985852919,307.8612514646879,HAM
10,304.89024152582795,324.5787318847832,HAM
11,302.0160656958543,333.09338222552526,HAM
12,105.56253709619646,114.90489219510457,HAM
13,182.7191637123121,180.3346212519647,ALO
14,266.38650942716504,265.9131413535913,ALO
15,291.7178994329258,292.9727992047619,HAM
16,296.82710974858435,297.7354410323451,HAM
17,188.7264618832462,190.09134786313595,HAM
18,222.09175023039572,208.27299206791912,ALO
19,268.3477383938578,264.2748612766256,ALO
20,148.8760401848277,159.6396849894486,HAM
21,142.30784216098246,143.00137685241552,HAM
22,215.03132802983149,209.84916148345746,ALO
23,229.75054732578093,238.90947936121964,HAM
24,161.33576632104118,153.81237137805488,ALO
25,,224.53045468877966,HAM
