Minisector,GAS,BOT,Fastest
0,254.27018480643474,255.55645892491577,BOT
1,218.0830045678109,217.8336614529765,GAS
2,203.65146647188448,204.81664996376418,BOT
3,255.9699875318525,260.0560110585727,BOT
4,271.05985963011057,275.05729003547685,BOT
5,286.350259121552,286.00471012173915,GAS
6,168.15540758840228,166.71822417587214,GAS
7,175.16764205067074,181.30566138969425,BOT
8,265.7741125626498,266.80836284749597,BOT
9,290.3542629811371,292.7298622153799,BOT
10,300.65639520288073,303.88154608579504,BOT
11,300.3596840986575,303.592919833173,BOT
12,114.83119214210197,116.39448597582712,BOT
13,186.5023852605536,181.78250921121864,GAS
14,268.97568756211064,268.89320192288864,GAS
15,292.6262567874599,294.83833725752845,BOT
16,300.80038859007914,298.9761126474806,GAS
17,186.80065416069255,197.31258285295036,BOT
18,223.35146583131046,222.43509841044818,GAS
19,268.308136067599,268.6551340066251,BOT
20,157.14357141404662,159.6708809514518,BOT
21,143.3944220279269,147.12539500560865,BOT
22,217.15088683569567,219.3929936632207,BOT
23,231.69603872504882,234.16651417765962,BOT
24,157.7000854523703,156.009768520038,GAS
25,225.33333333333334,226.16666311111112,BOT
