Minisector,PIA,OCO,Fastest
0,254.29622818945623,252.47135345020266,PIA
1,225.0775561304712,211.48047043291965,PIA
2,212.20310397340268,199.88015072644052,PIA
3,256.42562528,262.39446654729244,OCO
4,270.3528600131991,277.64689532681905,OCO
5,289.1566381248603,292.75722246252246,OCO
6,147.49341168789667,160.79179788989916,OCO
7,190.00789214926294,168.98223798692223,PIA
8,270.5341927941243,268.5678391897143,PIA
9,296.5247877359447,297.5327823296541,OCO
10,306.3394018714408,308.7201096844071,OCO
11,304.8788851073231,308.99951049297744,OCO
12,114.00732613483753,118.21869782578497,OCO
13,192.4948341672295,176.0612480311069,PIA
14,271.38634263404015,267.0348361519776,PIA
15,292.8924382465587,294.25893947927943,OCO
16,296.4172633953185,299.0774868207249,OCO
17,189.3211013158048,196.79311434951504,OCO
18,225.13428552059395,208.97439959720975,PIA
19,273.2269162585864,266.8030148372844,PIA
20,157.75120904189887,165.02640513696585,OCO
21,148.35714812408065,137.2548635377416,PIA
22,228.82089761850656,199.28611367938316,PIA
23,242.93217918456415,246.34572636131804,OCO
24,160.00926006206598,150.2051624236801,PIA
25,225.9,223.35714285714286,PIA
