Minisector,PIA,OCO,Fastest
0,294.50059119238097,293.47519429549317,PIA
1,300.8542238857143,300.48229376822485,PIA
2,218.42486077660135,215.99428390060604,PIA
3,142.43116125300682,134.10774652810426,PIA
4,219.8044772129443,218.1104524299408,PIA
5,164.22795477121693,167.46455000141995,OCO
6,169.8363388163041,164.0666059779123,PIA
7,251.35403132800002,247.05000186416285,PIA
8,277.7866014157143,275.6445996447619,PIA
9,285.83274686814815,283.99081840761903,PIA
10,260.84177780123247,266.46447061533445,OCO
11,237.1937361064513,245.77446314920633,OCO
12,240.05257543090318,243.39027817410192,OCO
13,208.16335243384515,204.6580758508634,PIA
14,135.08970562306305,133.22559653970507,PIA
15,141.17348339722224,138.00676096288484,PIA
16,168.48817243692307,174.30909763829325,OCO
17,247.3160202999014,246.23095509154064,PIA
18,254.73260615201286,249.39407588182223,PIA
19,117.53417884025367,116.4461503637397,PIA
20,193.91388222518518,189.82084928765968,PIA
21,199.12377618489063,196.69070512632982,PIA
22,230.14794621874688,223.65049960526076,PIA
23,260.92770495938424,260.0621524605243,PIA
24,281.63798882951664,278.2745684672784,PIA
25,289.77857097142856,288.42374975999996,PIA
