Minisector,ALB,NOR,Fastest
0,232.09494104606006,234.27757920743232,NOR
1,279.2484363999153,282.43170137777776,NOR
2,293.1632911339625,295.9643153160009,NOR
3,300.08594256876506,302.16421167424005,NOR
4,267.67838382217946,264.57741205770617,ALB
5,169.7046605353881,168.13621551161614,ALB
6,260.24787404253937,262.6975638783837,NOR
7,277.7701958238806,279.84048963247506,NOR
8,222.91164410694327,208.17265929997487,ALB
9,216.61168150583623,225.2874578354092,NOR
10,185.17351501848552,172.859597095001,ALB
11,227.60773391722051,226.61832231645928,ALB
12,210.85877541884938,200.74735780540453,ALB
13,220.09085218032723,207.00894458178757,ALB
14,225.9239233565302,227.53104663567933,NOR
15,183.75349954613193,176.1703119889677,ALB
16,245.31813994546584,251.2175786102393,NOR
17,281.95409509958836,284.4767945428577,NOR
18,295.09202515074276,296.454921095857,NOR
19,286.40091789386685,284.4327956629978,ALB
20,134.48384709376472,128.02492987041964,ALB
21,163.70875177367188,152.3080960288127,ALB
22,158.00733224400403,157.75024387407876,ALB
23,209.1252812398018,197.7603461440709,ALB
24,152.68417953235468,145.00148916928384,ALB
