Minisector,BOT,PER,Fastest
0,287.5964740166739,292.3278545523809,PER
1,296.98196944484846,303.1945041672317,PER
2,293.3508600270988,297.76603140849994,PER
3,178.79894608299324,177.72476581889427,BOT
4,205.04557559574613,207.1536723877168,PER
5,207.72104783272388,204.7787140853613,BOT
6,262.57370735170474,263.0543236213564,PER
7,244.33833400401568,244.61872283200225,PER
8,200.80218437847944,200.60030477648743,BOT
9,208.9927429311031,193.62527329890503,BOT
10,138.28148769851458,149.44489163638693,PER
11,202.18361565896566,180.69392197229314,BOT
12,180.20571105559748,190.9524658915134,PER
13,243.5030268530562,237.67008643915344,BOT
14,176.29534370741493,169.90149093116963,BOT
15,232.9168343478072,240.91211232901804,PER
16,274.6981113532807,276.06687191919195,PER
17,272.77170371164834,275.98892752895574,PER
18,250.48915320138858,262.7667550427013,PER
19,242.16649807924736,250.31338522666667,PER
20,245.41580430349208,251.01433686520724,PER
21,254.8164185307687,262.234166977316,PER
22,223.3055129575896,190.7192807523436,BOT
23,197.74146850912712,210.9042967132078,PER
24,265.6725636081996,271.2631007940741,PER
