Minisector,BOT,LEC,Fastest
0,305.20818104280613,295.8840655353868,BOT
1,319.9743574745206,304.6342263957672,BOT
2,288.8529311547524,301.4511252757778,LEC
3,114.96432596379833,117.4412820038551,LEC
4,226.31442851607756,230.65071724045123,LEC
5,274.825,269.8171942850506,BOT
6,226.21311012086238,217.8868947031759,BOT
7,167.2470763966651,169.17467147345585,LEC
8,202.4757597878165,204.84270441587952,LEC
9,220.12244199947762,222.1117505523845,LEC
10,115.14229539599239,117.75683213334308,LEC
11,228.8800478475381,235.6302047239898,LEC
12,116.3751729082292,120.21018216868191,LEC
13,223.702617459225,227.02251098646303,LEC
14,272.2925423897226,276.0011657753403,LEC
15,227.93538339704224,223.17121735446267,BOT
16,198.72293486180462,203.70723555535665,LEC
17,254.69520097578567,258.8268046991602,LEC
18,209.12955991544368,208.18437884634196,BOT
19,184.18931580678682,187.81926435139164,LEC
20,269.02284562963746,273.47341670703736,LEC
21,294.5531954689212,297.4959279932571,LEC
22,160.69227826172366,174.3500836750917,LEC
23,208.53103046663168,214.49944788075973,LEC
24,272.98798712477515,274.9534063722951,LEC
25,286.37916693333335,286.90000000000003,LEC
