Minisector,RUS,PER,Fastest
0,269.49816686842905,270.7979968727526,PER
1,244.1731492739469,241.89671317713575,RUS
2,117.03559219883968,118.52441852846188,PER
3,171.22656779064582,170.38005200701966,RUS
4,193.65928958754736,184.51560203283617,RUS
5,197.38810891567107,196.41062793340308,RUS
6,262.43303549002076,270.213236741938,PER
7,285.20902803137255,298.48190080262475,PER
8,228.59965683039593,224.0288581163448,RUS
9,145.59692896279356,143.91379801822222,RUS
10,117.14214329231511,115.24549326957472,RUS
11,151.54281270422595,150.3827540405092,RUS
12,243.41220747881297,240.12177066888887,RUS
13,145.08316159374155,148.06533765402332,PER
14,147.99425984154027,146.1483810627285,RUS
15,105.6482126831669,110.12086224861739,PER
16,224.55167962993247,222.99357947084926,RUS
17,230.35223175455556,231.438193930959,PER
18,115.60222650834064,126.2759080738777,PER
19,240.12337067528054,245.85013094885593,PER
20,272.570108630303,286.3990860212349,PER
21,204.89561450132132,188.1163063698102,RUS
22,150.64494665606125,143.59587665308797,RUS
23,215.16302751291735,210.164406797678,RUS
24,227.84309497087276,222.9183701705785,RUS
