Minisector,RUS,LEC,Fastest
0,292.5200368153955,290.3844357527841,RUS
1,150.33051330752485,144.64473335025906,RUS
2,226.85801610589337,227.21093906532468,LEC
3,285.0138312459218,285.8270212795601,LEC
4,315.48742190363896,323.9042345084807,LEC
5,285.7783204665387,300.4240730311111,LEC
6,150.92788906907225,148.02532997478542,RUS
7,247.47454482133028,245.89711528463306,RUS
8,114.09377758692229,108.33458087029786,RUS
9,173.10401913700437,178.510299079625,LEC
10,280.2791781198932,278.97860224444446,RUS
11,302.8546423790476,301.48736281998936,RUS
12,218.67502244811521,201.4605375213991,RUS
13,170.48393226279953,177.29068047158066,LEC
14,280.126271596595,282.6497271503848,LEC
15,315.07811753529853,312.6948468256992,RUS
16,327.62371603330695,327.76952377720056,LEC
17,335.95199125621934,337.18636162590474,LEC
18,339.2319930788456,349.5140376,LEC
19,341.3469297964912,350.7738970352941,LEC
20,189.71638937347444,191.5992330677315,LEC
21,181.0436432986325,185.920545482291,LEC
22,283.59513997025283,283.5235225759231,RUS
23,315.2456213926737,314.1062356047696,RUS
24,325.62593695499305,324.3926438372063,RUS
25,323.0,,RUS
