Minisector,PIA,HAM,Fastest
0,280.6564407901821,290.44648544861286,HAM
1,144.48253152200343,156.15438809498406,HAM
2,173.04353611917287,165.11584412170373,PIA
3,245.16478699359305,236.56044708864468,PIA
4,265.8651483679481,256.92691318883834,PIA
5,233.62794727009523,238.84478670521543,HAM
6,213.67992098344817,213.47249803987705,PIA
7,145.680931758557,145.70698905937323,HAM
8,226.58418932465457,223.57155914095472,PIA
9,297.890006321207,296.52897669956707,PIA
10,319.68921594472,318.10713893473365,PIA
11,317.5795049584541,315.9011215755267,PIA
12,310.40809946326823,310.5675502034568,HAM
13,305.1647382829329,303.94465075102096,PIA
14,124.90515872921749,127.06645689610816,HAM
15,119.93053665269564,120.25096937611468,HAM
16,104.09452662443785,104.73123971605993,HAM
17,239.29787287238244,239.37108431009224,HAM
18,303.64756201379316,301.66105841755535,PIA
19,322.11592244705884,318.9178472687693,PIA
20,321.85768775306826,316.18212725894733,PIA
21,315.4691607828571,312.93496750401494,PIA
22,115.42304142454945,125.86482073544722,HAM
23,210.11380937477773,195.9978272497991,PIA
24,273.6965995699501,272.08777989176116,PIA
25,286.2,285.0,PIA
