Minisector,GAS,VET,Fastest
0,303.11299835804795,302.76145128425827,GAS
1,232.576284641077,240.2282818176661,VET
2,190.42502193273654,196.82873665608466,VET
3,267.85621731850784,270.6230989399171,VET
4,218.0860125684642,228.91693529462367,VET
5,109.88905612925085,109.30267821996132,GAS
6,168.20407256268382,177.73839906838992,VET
7,256.4797158602552,257.79508944761903,VET
8,284.5141278645143,283.95721778109504,GAS
9,298.99738621614904,297.4431666773333,GAS
10,301.841833344,301.1355902222222,GAS
11,221.07818998531718,236.82987737265745,VET
12,148.06684057876424,145.77727289108546,GAS
13,257.2006406085903,257.6302934366567,VET
14,289.4764134023999,288.1881045389918,GAS
15,296.91674339191843,296.1361112,GAS
16,287.7868335786667,283.6721291860455,GAS
17,242.24912864436692,247.71584520722496,VET
18,167.63269704269115,172.77896181781395,VET
19,178.38517560046458,179.61774923767612,VET
20,178.255485263938,176.99456894095238,GAS
21,239.65016702065628,242.49237015199944,VET
22,121.24245080580006,123.01191620696929,VET
23,195.42997964444444,184.81319527790887,GAS
24,281.1288804783914,279.7505953641026,GAS
25,297.4750016,295.3166677333333,GAS
