Minisector,SAI,PER,Fastest
0,321.6554026816506,322.7477225672878,PER
1,328.53409090909093,328.70253625507246,PER
2,324.5268542251026,324.1515151515151,SAI
3,204.85844379099098,204.48422367029502,SAI
4,120.46691197978983,120.70112092059497,PER
5,264.8270592490508,268.51975308641977,PER
6,301.37226586190474,302.23370931381663,PER
7,309.6542184679089,312.4115942028985,PER
8,274.68146246424556,278.68605769230766,PER
9,146.87947643128842,144.68720600806432,SAI
10,222.03742764329004,227.7160558045511,PER
11,219.15460191869633,212.40147058823527,SAI
12,202.58749884444444,199.49015239964987,SAI
13,270.43778783369333,268.47724350988454,SAI
14,304.9479972167328,305.6855518898535,PER
15,313.2031197537958,315.4559782956522,PER
16,262.0933020952381,269.67106422928885,PER
17,210.52363105025137,200.96828708148146,SAI
18,274.3164289584762,270.7057249185723,SAI
19,306.36436958023387,306.080978226087,SAI
20,315.33020189151136,316.33179738325697,PER
21,300.9460167616841,306.6510416666667,PER
22,213.18112038592065,208.9238662786797,SAI
23,266.5996701232358,263.934126984127,SAI
24,303.819125344,304.1392361333333,PER
25,,316.5875008,PER
