Minisector,ALB,SAI,Fastest
0,251.64184773118714,253.42755269604297,SAI
1,281.04874976,281.7495257109719,SAI
2,170.65871551190784,160.82214001935037,ALB
3,169.01328753909024,167.64269447755862,ALB
4,259.37009342466865,262.1064576158387,SAI
5,271.02642048484853,267.0447833748613,ALB
6,221.31280880987654,202.67508041705022,ALB
7,206.47068453333333,190.41998216830802,ALB
8,159.710421171451,153.15033035218158,ALB
9,223.33076885567763,228.894091381685,SAI
10,271.72925449555663,278.9718816362812,SAI
11,125.74000136535184,120.87186410097279,ALB
12,219.99223967266315,221.83351413333332,SAI
13,273.93698688765613,273.58027412930585,ALB
14,291.849574770068,289.8814581866667,ALB
15,293.15500000000003,295.5391665066667,SAI
16,222.64221794426808,211.6270156137931,ALB
17,137.02163782059066,132.00550353494938,ALB
18,141.63583151716816,133.53064503632262,ALB
19,124.44586404265984,120.90350894603175,ALB
20,230.8581732923077,222.96730728205128,ALB
21,258.6223086641822,248.56114450389526,ALB
22,230.81385096202584,221.12019347692305,ALB
23,215.59027299837126,207.42428264562238,ALB
24,147.88361253578114,143.96089039670125,ALB
