Minisector,VER,TSU,Fastest
0,290.45461195541577,290.5752452860618,TSU
1,160.66243825620208,159.17404566192917,VER
2,175.7634158556125,174.3406272389571,VER
3,252.69619308538577,253.25852703055153,TSU
4,285.6556672842512,286.47947929227513,TSU
5,246.16699236173915,251.09390971496694,TSU
6,222.10007837090987,222.85813781198053,TSU
7,153.11353495987754,150.11115435172164,VER
8,231.4251425337068,230.75457871116188,VER
9,281.17589088596054,279.84189386323976,VER
10,299.30648012121213,298.1689325018182,VER
11,307.54377713670834,306.7632220046956,VER
12,311.21413456205596,310.13642174690057,VER
13,304.5202445118595,306.0938198331429,TSU
14,123.19573098062033,124.87962239924047,TSU
15,120.41184018529393,117.76007155280551,VER
16,106.50738484210791,102.43763196369882,VER
17,234.22122736816104,237.7902293993266,TSU
18,285.1104481719728,287.4542514394558,TSU
19,305.8071284876331,306.1474514651335,TSU
20,317.4993693738346,316.0772910168441,VER
21,315.9421746560985,317.4171835379387,TSU
22,121.2637822716578,119.9506574914231,VER
23,207.09607175103665,207.8244047167416,TSU
24,268.2001098942044,268.95753536765056,TSU
25,282.84999999999997,,VER
