Minisector,LEC,BOT,Fastest
0,276.26880063635303,272.86299576023475,LEC
1,295.21686850030454,292.6205607451326,LEC
2,301.31587190075606,295.6421740734695,LEC
3,126.92165825186075,131.22927347511344,BOT
4,200.40714648398918,203.25536244390813,BOT
5,259.87790198986494,258.68912100740744,LEC
6,139.056372207406,142.61000246853553,BOT
7,208.72817060703466,212.1354506097441,BOT
8,261.9954518207464,263.7792327197326,BOT
9,284.09958335636543,284.84645829987346,BOT
10,241.07137060474219,241.18523039301226,BOT
11,178.92758966075857,184.30794977807838,BOT
12,194.99676032845923,198.5292150353995,BOT
13,145.13977970135278,144.15892951853164,LEC
14,177.51090074354735,177.70819258545637,BOT
15,162.10995599693925,167.70003678458028,BOT
16,220.54061993312177,223.41179975223253,BOT
17,235.93268702058282,241.35315959368685,BOT
18,244.8335460808123,247.45422168895897,BOT
19,239.51776410598228,228.18231064439345,LEC
20,146.13685938978742,154.24334786892047,BOT
21,133.72555286620965,129.6391097548394,LEC
22,171.52014926712,174.4194557089819,BOT
23,149.67204534671842,156.93495159323464,BOT
24,234.26003353532292,237.25314924790172,BOT
