Minisector,VER,LEC,Fastest
0,289.4844830347397,301.6219182840579,LEC
1,158.44470148190476,163.45735865686808,LEC
2,151.946348965614,154.1115049405353,LEC
3,227.08558476767564,233.6891026271043,LEC
4,285.6083850320579,288.12503304650824,LEC
5,286.94803212554484,288.789097767541,LEC
6,143.51949296319196,150.34447183865353,LEC
7,144.7470094774001,148.76064423963783,LEC
8,141.5300379880059,152.26280889142419,LEC
9,195.25650131449783,189.8642844601239,VER
10,132.16676374670365,136.30038989556087,LEC
11,121.94213721006325,127.33121515728313,LEC
12,168.99136072674375,169.6613806540351,LEC
13,269.5672363873016,270.62995105700486,LEC
14,291.39226177662334,293.37989120000003,LEC
15,152.27664856522702,156.69683208761904,LEC
16,206.3795610314331,214.00295702305667,LEC
17,174.67341155132274,175.61845859471657,LEC
18,274.97408125714287,276.9107949090909,LEC
19,298.3345451133103,299.7262388424095,LEC
20,314.1325391818594,315.8622914742857,LEC
21,326.0476501573935,321.8547618539683,VER
22,331.73962599047525,318.87296961537356,VER
23,334.2833332190476,327.13190464,VER
24,335.8014007313312,331.0023496501253,VER
25,334.1166666666667,329.1541664,VER
