Minisector,RIC,TSU,Fastest
0,275.4492542125004,275.7223897229659,TSU
1,296.0349047649524,295.268333312,RIC
2,290.59625394711196,291.81243750621115,TSU
3,175.91100591498258,180.50117688761904,TSU
4,115.85398477796868,118.49624290303089,TSU
5,236.49045646451611,235.3033756078241,RIC
6,279.6546471794872,279.26242082257977,RIC
7,284.69583372307693,290.26162214579716,TSU
8,177.39938421165832,185.40796339846042,TSU
9,140.13882409646754,142.34891060430672,TSU
10,250.7514363218391,249.70928695698709,RIC
11,288.1347586506899,287.62386020388334,RIC
12,296.46789117584933,295.18482156190476,RIC
13,285.03297621333337,277.51388890864195,RIC
14,295.15711429406144,293.3192190118138,RIC
15,291.8878573714286,296.18452401980954,TSU
16,253.2199326672495,252.691819100363,RIC
17,226.03111933333332,222.18467736802012,RIC
18,274.5951073082995,273.60696636613756,RIC
19,294.51924590476193,294.91398227064667,TSU
20,301.56927079999997,294.9350647279012,RIC
21,232.4732404379936,232.93456076199635,TSU
22,254.1777492414509,253.4903980609936,RIC
23,135.5650887319716,140.06848827276656,TSU
24,213.02029715209065,210.95788888239832,RIC
25,,257.0375008,TSU
