Minisector,PER,GAS,Fastest
0,301.8379700522637,294.08921079780663,PER
1,235.6408148024593,234.41540364811286,PER
2,130.23524491928143,132.15835970696827,GAS
3,240.27523485521297,239.50970771415135,PER
4,190.36103622711622,182.68583759079104,PER
5,239.0869839826601,235.1677275081204,PER
6,228.34583774265968,221.72023375646336,PER
7,251.85205317902776,243.84271998160918,PER
8,288.8295206254101,281.39508684384,PER
9,202.1219533622857,208.57635274074073,GAS
10,201.28629494070768,194.45134700516542,PER
11,271.45575131026726,266.65530739149204,PER
12,209.82355054730158,207.74923878308243,PER
13,247.8936082864397,243.4005636569677,PER
14,292.0035922577226,285.2099234830688,PER
15,308.1640708864548,300.439180411993,PER
16,311.13074221954884,302.72934986666667,PER
17,233.21523606185886,232.6409764856505,PER
18,269.80823626373626,262.9612973644764,PER
19,298.5317615955776,290.77989521771184,PER
20,313.0097865704006,304.0435231220897,PER
21,313.9217843948052,305.5404779134852,PER
22,150.88723235287418,154.8803116325255,GAS
23,228.9064111233221,224.87946660794344,PER
24,285.0985097869597,276.4920276636444,PER
25,295.8750016,287.4968752,PER
