Minisector,VER,RAI,Fastest
0,306.2494018557522,316.1536488088963,RAI
1,238.63223804018307,229.54478973333335,VER
2,138.7238074936591,133.16486501692708,VER
3,222.8689571835385,224.87019132229406,RAI
4,266.6738186769262,271.35448168826525,RAI
5,290.2640227575434,297.25430536685116,RAI
6,302.30690487873017,310.4269133714286,RAI
7,279.37170694934105,292.11842706832925,RAI
8,176.46198728074305,175.05851793205477,VER
9,241.8179225124577,242.76286240705122,RAI
10,273.5265772728767,278.8792682674013,RAI
11,264.4035407364151,269.8272760839171,RAI
12,215.00553119336456,211.07512750909842,VER
13,132.58237466084518,130.70656912631867,VER
14,126.10304369282107,122.85002745480597,VER
15,170.55626666079914,171.58153388268707,RAI
16,129.04185925767098,121.36519778712767,VER
17,234.23814079899026,234.39186991586666,RAI
18,191.09024605339098,197.08460482965054,RAI
19,169.41087460894198,164.5948523338932,VER
20,247.8327566727681,251.93510989986873,RAI
21,275.90653033592196,283.28502598969806,RAI
22,292.47020095238094,301.33715830573703,RAI
23,301.82580883256065,310.27055566222225,RAI
24,306.8059426710223,313.96517233911305,RAI
25,308.0,315.8642861714286,RAI
