Minisector,MAG,HAM,Fastest
0,293.588234896478,296.38773448666666,HAM
1,230.59287702857142,227.37716747172072,MAG
2,129.24505104159363,132.22198395474837,HAM
3,233.2403960853108,227.2086379570249,MAG
4,190.42040663989116,190.27121082877616,MAG
5,244.83654516072562,238.7958517123664,MAG
6,232.76974480346155,224.04213114838709,MAG
7,249.5538020305991,258.5381645632655,HAM
8,283.03565630476567,285.88609453084445,HAM
9,210.30501217335595,199.1041812573626,MAG
10,203.15648582763168,211.37225989384442,HAM
11,268.5185551364204,271.51898206835114,HAM
12,207.7282682127949,203.21101547822474,MAG
13,244.09595745471265,244.57946119265307,HAM
14,287.56366266383617,285.80024636688773,MAG
15,301.8785699526531,301.9281385789322,HAM
16,299.8322174285714,302.5622584852824,HAM
17,234.09217961531579,227.68726803743326,MAG
18,264.8553701436008,263.6442650689995,MAG
19,292.38669890883125,292.325307553819,MAG
20,305.2705212778175,303.1731364830883,MAG
21,303.1296901032671,302.48938395529274,MAG
22,152.19134428875938,155.45038219692154,HAM
23,230.77304690352312,237.6072813688404,HAM
24,281.27792116248173,281.798179222827,HAM
25,288.77008304749046,,MAG
