Minisector,NOR,HAM,Fastest
0,281.1853184946366,290.49380131338984,HAM
1,122.25863097443283,109.8853373863579,NOR
2,172.84444579232422,168.37608543582272,NOR
3,206.76204734144926,207.0942617193547,HAM
4,162.542821637506,164.29175847554635,HAM
5,239.32266110040814,245.36134498552877,HAM
6,200.32575557705295,193.7396566588536,NOR
7,138.8985575179832,136.9449851006982,NOR
8,238.1022966874435,243.4180572813679,HAM
9,276.1635040857143,288.57457983193274,HAM
10,277.5698978322843,280.92201307621207,HAM
11,151.9477590280418,147.15707054868687,NOR
12,220.64523484196928,225.697935868175,HAM
13,271.1682503317669,273.7465033068886,HAM
14,257.5627604667669,240.24221433904762,NOR
15,99.75430435037987,101.19598105832796,HAM
16,221.50573271615752,220.27205494580085,NOR
17,269.44711547936697,281.2609140614703,HAM
18,289.59817931114844,309.4263866110924,HAM
19,297.78987474460627,324.39013155594756,HAM
20,303.06127447843136,333.37645828,HAM
21,279.4106404901587,258.79487373737373,NOR
22,156.8831898329149,153.50658252650547,NOR
23,233.16974604985506,250.2200236491903,HAM
24,275.3570774190714,267.6150798497878,NOR
