Minisector,ANT,HAM,Fastest
0,273.4786217267829,276.66711244865496,HAM
1,302.012378851498,309.8251037933333,HAM
2,317.02992914896663,331.3319752,HAM
3,325.1535406105006,342.20424134564104,HAM
4,328.81039180317464,344.9798610666667,HAM
5,330.71730983009525,343.4867950605128,HAM
6,202.10644317206348,219.66204258963805,HAM
7,109.8379988837539,106.50873128114273,ANT
8,192.71669879911897,190.34836409304475,ANT
9,264.203764296092,267.65871776374246,HAM
10,290.66280307777777,296.38563117475917,HAM
11,160.2449609300066,165.42891307668333,HAM
12,94.82655637484356,95.00121865666118,HAM
13,116.86703674563708,118.6076657094394,HAM
14,218.07795797291402,217.62539193970676,ANT
15,189.88159801752124,184.3676929271904,ANT
16,223.75044230095236,220.49933955355056,ANT
17,183.84028606520727,181.06750346231294,ANT
18,233.15541613332482,228.3975972937143,ANT
19,278.09817768493826,273.2189222942726,ANT
20,242.1605278452827,240.16404493688887,ANT
21,146.74812254245504,144.89465501295385,ANT
22,96.1840079354555,97.08832371198503,HAM
23,122.4569670826392,126.7683639995325,HAM
24,222.7525174887157,224.82604278475048,HAM
25,,257.89624928,HAM
