Minisector,NOR,BEA,Fastest
0,271.3832497360271,272.1816341714286,BEA
1,234.68344794883177,247.54717790970787,BEA
2,120.04112441736949,119.23609090094861,NOR
3,172.83537493328717,168.91591455904762,NOR
4,200.19174975045524,192.04575363202477,NOR
5,199.08010887999998,198.36383854314573,NOR
6,262.02595162229403,263.60797779963457,BEA
7,283.65459242039645,285.6932021894737,BEA
8,219.98322588994708,229.03809967582546,BEA
9,150.41029899559405,148.50960759309518,NOR
10,117.93533140443898,120.78326094336177,BEA
11,160.66008242318466,161.91958105333262,BEA
12,248.50624993629629,247.64156770575963,NOR
13,160.2605872067221,158.41620155852286,NOR
14,148.49927478045228,139.88557831075727,NOR
15,108.60731310917885,107.27997290066966,NOR
16,214.18987736192827,217.90368957050507,BEA
17,238.00129397544654,241.20173017008406,BEA
18,129.0636028057065,128.84997504797383,NOR
19,237.25493999540424,241.9081996163131,BEA
20,275.1956138782766,275.8963613725222,BEA
21,203.20921421201533,207.03976938275093,BEA
22,146.5711781634317,147.1671178303748,BEA
23,218.6512662992475,225.862062122206,BEA
24,232.58751410967614,234.17040709942282,BEA
25,258.4500032,259.9954571636364,BEA
