Minisector,PIA,TSU,Fastest
0,281.41193589589466,280.49700291333335,PIA
1,297.1509896133333,297.04450847558536,PIA
2,292.7499294309957,293.1275681532275,TSU
3,176.90728374419444,174.31475541364853,PIA
4,219.746964216237,213.2132166702381,PIA
5,203.919993184012,198.2396535487148,PIA
6,180.51226703915344,176.3679472849457,PIA
7,208.32452136382653,199.33856952962623,PIA
8,258.89326158611584,254.00262440263734,PIA
9,266.7370548051649,256.1888386064399,PIA
10,165.92378365932703,162.83028459190925,PIA
11,236.94653257624026,238.94376294629816,TSU
12,118.06805960680404,109.2305953423203,PIA
13,222.4242111853553,224.91783185646352,TSU
14,276.40047239770485,276.5675523265672,TSU
15,289.43691338632965,290.3789853704348,TSU
16,216.9336042682316,202.38907145368975,PIA
17,187.52606052046175,185.0116088593974,PIA
18,267.67054255171905,266.7378144113834,PIA
19,292.4411511205772,290.1238282722761,PIA
20,303.51819358061226,300.45242908257313,PIA
21,303.6582646035978,300.57025593881673,PIA
22,260.5569199219514,251.63353080376217,PIA
23,117.86988046790374,112.62174946644029,PIA
24,238.1804015864643,238.84993251102836,TSU
