Minisector,MAG,ERI,Fastest
0,260.8491961888945,258.2372324917872,MAG
1,133.4180975828356,134.12813848323464,ERI
2,266.0484542368618,262.2135847129252,MAG
3,304.07299976533335,299.105166848,MAG
4,300.73009311796017,296.2716665721905,MAG
5,308.24149973333334,301.88766034871793,MAG
6,312.57909425178883,306.47210147246375,MAG
7,313.4539932,308.0958333128205,MAG
8,210.72349718518518,205.19400403478824,MAG
9,197.28307118223367,200.03810863574571,ERI
10,184.86975504737012,187.63427097042435,ERI
11,165.07967175395552,161.69673278146035,MAG
12,253.56609721111116,249.6735131965294,MAG
13,285.21085792215996,279.55293202962963,MAG
14,284.070879003663,279.00955723232806,MAG
15,282.86570277530865,275.05365830204084,MAG
16,187.25798790080782,186.66282335217164,MAG
17,194.96672917519732,192.61378581340674,MAG
18,240.90768810772045,242.5072148546851,ERI
19,287.1566595950839,285.7689145201196,MAG
20,306.66440933333337,303.96645205942855,MAG
21,313.98265403871545,309.4486111111111,MAG
22,312.630333312,308.91100002133334,MAG
23,256.5829733597064,244.46747978530468,MAG
24,118.71751432330345,116.92104308228336,MAG
