Minisector,VER,LEC,Fastest
0,252.26308827875556,251.23650705069554,VER
1,215.57867562410786,216.37022841764215,LEC
2,211.740825971447,202.04042144944196,VER
3,259.5883828383216,254.74079664789215,VER
4,274.82538224438673,270.0268494099248,VER
5,288.16955300442544,287.392240806076,VER
6,165.09836875851852,164.3579914078685,VER
7,167.30768815349,181.64878141703082,LEC
8,265.0246310575469,267.6445945769697,LEC
9,291.3144072692917,291.43592140432423,LEC
10,302.0975440795767,303.66729703672723,LEC
11,300.97999561500814,306.65759969792714,LEC
12,115.75609935368928,113.42367630796274,VER
13,189.33471498828283,197.30021595983416,LEC
14,269.72361757056274,268.8833088493233,VER
15,290.1500854128104,293.0374883886384,LEC
16,296.0570668960401,295.73017863999996,VER
17,187.8679464246349,187.8628828251009,VER
18,218.10924360691357,216.1734123911111,VER
19,266.68083733491346,263.0895848703669,VER
20,153.68912325917609,150.64675353160575,VER
21,148.7173577175713,146.49873814011917,VER
22,219.7426151256733,223.10795835421425,LEC
23,237.58366071122154,222.44302641918873,VER
24,162.99287449821276,160.1366522487921,VER
25,226.3249984,,VER
