Minisector,PIA,LIN,Fastest
0,311.9285502630767,320.5355003984282,LIN
1,325.3626397025571,346.92376832725887,LIN
2,330.4895725873555,351.8225509746939,LIN
3,309.43756640699905,320.4592025163655,LIN
4,152.04591849456565,144.4424787184724,PIA
5,188.0227116693081,178.45041142866685,PIA
6,214.5399684065483,208.92376173006704,PIA
7,258.64938255530427,259.08081904474165,LIN
8,232.33484158640366,236.72056862465283,LIN
9,152.8992244157811,143.1307107045097,PIA
10,210.2783751525869,201.0531187189512,PIA
11,119.38070922882538,120.24368757493953,LIN
12,233.77940296858242,228.39883223664344,PIA
13,159.53075326930414,163.74497661667894,LIN
14,207.74535627400684,207.28300880398584,PIA
15,217.0384439092769,210.80339538314297,PIA
16,257.11083645873896,257.813343491141,LIN
17,285.65502311024835,290.99512195391355,LIN
18,139.51376146033414,136.91494990143622,PIA
19,157.29352413215386,151.31998357255878,PIA
20,135.08286824109157,127.69169222883251,PIA
21,223.4232132126051,218.5439849669482,PIA
22,249.57755029659816,249.7011092770585,LIN
23,232.7383211696549,227.79699381770632,PIA
24,281.5413352543797,282.42895948952383,LIN
