Minisector,BOT,PER,Fastest
0,297.42065977777776,300.60126812753623,PER
1,299.57904550982323,302.2624191379886,PER
2,260.8453045253068,257.3153303405714,BOT
3,155.81127886611688,154.19580262795415,BOT
4,176.00123826730922,169.11568896703298,BOT
5,217.29885057471265,216.1032963941301,BOT
6,239.30940094454783,236.07852670965949,BOT
7,217.20607553366176,212.60115002300432,BOT
8,268.20561445437926,268.0447517165982,BOT
9,264.78623188405794,253.09486855061442,BOT
10,274.1897671620264,268.23703074362396,BOT
11,278.5908472149417,269.286448919192,BOT
12,275.3190379959962,269.53731858550725,BOT
13,265.3284503735921,268.3747742931779,PER
14,181.93648679604843,179.16700375392534,BOT
15,238.9346711922035,236.2583663882318,BOT
16,210.89694410666667,216.26260466365622,PER
17,175.01756731512694,171.4720975426433,BOT
18,257.91289121111714,255.5280054908946,BOT
19,284.1012803029411,284.0870876130475,BOT
20,260.2932536126984,260.2388052723842,BOT
21,189.47614945396356,181.48026091822453,BOT
22,255.50686835954676,252.860515219785,BOT
23,282.1098275558046,284.3438335121661,PER
24,293.77155798260867,295.55595260952384,PER
25,,300.0319441777778,PER
