Minisector,BOT,NOR,Fastest
0,292.902976152381,292.4475,BOT
1,295.22687498666664,289.36646836825395,BOT
2,296.42324564210526,278.27599212698414,BOT
3,237.64871213898496,228.72056700524047,BOT
4,239.6027067848812,229.5178348952381,BOT
5,119.37720395018545,113.00957947775584,BOT
6,219.44660543209878,225.51746715897434,NOR
7,270.0965128489796,273.182168530656,NOR
8,240.2646407192381,233.5036923062857,BOT
9,118.68357647479735,116.222283946683,BOT
10,236.95514464368313,238.88315915555555,NOR
11,259.17543315670997,252.5389649742443,BOT
12,140.1993841196099,136.5731750505675,BOT
13,215.82868620227867,219.2306082051282,NOR
14,271.63595133339135,267.2166665212121,BOT
15,238.0402881584762,225.02635294626376,BOT
16,158.87829284044872,157.57663879960066,BOT
17,241.36998964444444,237.2816866333351,BOT
18,125.42668293097695,123.86918538533226,BOT
19,151.5357858021661,143.2929169142857,BOT
20,201.60336450311988,190.74467420951527,BOT
21,262.4725313559984,259.7647723151515,BOT
22,279.24666656,275.21234166712884,BOT
23,285.2962299936508,280.0063391542857,BOT
24,293.12158965703316,289.48107133714285,BOT
