Minisector,BOT,RIC,Fastest
0,288.6481477671957,302.6686364992577,RIC
1,301.4077888566477,320.1134938146058,RIC
2,306.0294486990909,329.7572157997733,RIC
3,307.624181647619,322.0835189572623,RIC
4,183.87114710147623,175.45504671930433,BOT
5,207.16589321224774,220.0443367585188,RIC
6,242.8500004254476,250.58002109133344,RIC
7,266.90895906967415,267.0046328124728,RIC
8,280.94428319854785,271.2078949614035,BOT
9,170.35585174554535,175.91291297910124,RIC
10,230.43127863547818,231.5143546158168,RIC
11,146.39471164420016,145.10577111385237,BOT
12,220.35894659808562,221.38787618179856,RIC
13,213.60945893191797,208.1258612732827,BOT
14,207.30330162056418,212.99113378542094,RIC
15,250.90189791120537,252.67479157333332,RIC
16,262.0248898274342,262.68699929541015,RIC
17,284.12260308855224,282.2705697857399,BOT
18,168.3916873173605,146.98252467609,BOT
19,146.18616166687622,160.62589126869406,RIC
20,146.63510258484263,152.3419120371141,RIC
21,173.2110557158988,175.05137196400142,RIC
22,120.85923568040972,124.4786650665314,RIC
23,215.81642529433805,224.04416336746428,RIC
24,268.38163845445655,266.63661483704936,BOT
25,,279.4714285714286,RIC
