Minisector,ALO,ZHO,Fastest
0,292.0106045393863,289.18463943962576,ALO
1,303.51420102930484,299.0530176548572,ALO
2,307.0,297.416398070704,ALO
3,189.64600047217553,192.02340708320762,ZHO
4,215.55788652033584,207.4736996923392,ALO
5,200.36334099520525,205.89068315033413,ZHO
6,264.7920309327581,263.9796486748331,ALO
7,263.1679628495238,252.89219454984126,ALO
8,211.30212144390313,212.61596614583934,ZHO
9,214.1219876120935,214.9481277161905,ZHO
10,141.84987012311225,141.09500795624794,ALO
11,205.60517904078932,202.07639122083748,ALO
12,177.92287688565656,187.81673429837488,ZHO
13,254.85885851531262,250.39370791130162,ALO
14,182.35970196640693,182.3297512348485,ALO
15,232.39632304060987,233.23655558411082,ZHO
16,280.9663488686659,279.4647989679654,ALO
17,292.34336174787876,285.92193373847954,ALO
18,286.85178592,276.13845173068324,ALO
19,266.397415814026,257.80863484921906,ALO
20,261.0465392164102,259.71132699991057,ALO
21,263.7905966471692,254.90696095668736,ALO
22,232.36016083536742,236.4036188213714,ZHO
23,204.80189446220967,209.53431306911227,ZHO
24,269.37308906666664,267.44955519457056,ALO
25,,283.0612496,ZHO
