Minisector,ALO,LEC,Fastest
0,252.1867953643435,252.50074988543182,LEC
1,214.16069996744932,212.0258958237437,ALO
2,204.68523235178128,202.5440922233683,ALO
3,260.12492657700653,255.18507003486212,ALO
4,274.73984689132124,265.94675467667497,ALO
5,291.11460237799156,284.29285335736887,ALO
6,165.0282813547963,159.25256554331284,ALO
7,177.18719625901943,180.43364429244627,LEC
8,265.741633892987,265.3099492791879,ALO
9,291.2595865464082,290.4129317891674,ALO
10,302.67110841848455,301.55338536138186,ALO
11,305.0160683323407,306.44907495539394,LEC
12,114.2619167361002,113.40387848126787,ALO
13,182.0805950056889,187.099707914389,LEC
14,269.57824125428033,267.8879261972499,ALO
15,295.08169468575653,292.74128138616703,ALO
16,302.15725433347706,301.36235390024524,ALO
17,184.7883432268495,177.03429543255618,ALO
18,219.27605827933377,217.51564246793842,ALO
19,260.77652470747313,267.71472489809474,LEC
20,155.2804351316872,154.44576874494706,ALO
21,146.27173694332632,142.57405874585206,ALO
22,217.79942383177737,218.56599784402763,LEC
23,231.43491153790157,232.44835568268033,LEC
24,160.76724007236248,153.72851060085938,ALO
25,226.21338741828612,224.3,ALO
