Minisector,LEC,BOT,Fastest
0,287.7681305365392,292.05621791322244,BOT
1,296.0047567758576,302.73642365549955,BOT
2,282.7282965069217,284.01602118084605,BOT
3,104.70541656361192,103.26461307424297,LEC
4,226.39331031746534,219.29369595282054,LEC
5,267.192385481697,278.29264713803315,BOT
6,203.336980911558,205.66658023995623,BOT
7,159.38871406422723,156.63224553025296,LEC
8,214.47701113799792,202.19105492801478,LEC
9,226.79883998524375,214.26402420215874,LEC
10,109.47112898742688,112.0660949303407,BOT
11,225.31758465395353,227.64028432558888,BOT
12,121.66496970862585,115.40141607508225,LEC
13,220.80079951798285,226.0181969699773,BOT
14,272.3441130305787,286.9249676570967,BOT
15,209.4542572074523,196.7097954573272,LEC
16,196.18152789322315,189.6614162782041,LEC
17,252.32489399700248,247.7245830830769,LEC
18,210.47534707482433,186.1039894672928,LEC
19,180.18093529891,177.01410449441403,LEC
20,259.7247277465728,261.71087066862304,BOT
21,282.95416726417443,290.34853886051496,BOT
22,173.17454969268357,159.98350488021129,LEC
23,212.01841094353094,213.43329257051315,BOT
24,268.9467649546325,276.21922277171717,BOT
