Minisector,ALB,NOR,Fastest
0,302.0185558986114,311.01084623845816,NOR
1,315.6363948843537,324.9358980923077,NOR
2,323.4769233230769,333.1825551355311,NOR
3,327.96879741253963,337.7315478349206,NOR
4,221.32729358447835,210.73597177281877,ALB
5,96.39212432826052,90.30951135734989,ALB
6,195.993510770068,190.55412786960056,ALB
7,250.02747458349435,251.65567320560223,NOR
8,283.18316526346564,272.1111115377778,ALB
9,293.4436110933333,280.722180291155,ALB
10,159.31352596048697,152.9585977904762,ALB
11,164.33132698989544,168.1130577545517,NOR
12,232.34934293333333,233.40789535438594,NOR
13,237.6017113437094,235.6674798275689,ALB
14,152.3185439758884,147.8060919389453,ALB
15,202.0398548099773,212.31178768761907,NOR
16,255.04858165298816,262.0476199809524,NOR
17,276.6763024666667,281.3982767871759,NOR
18,287.4313494857143,284.6172221155556,ALB
19,294.5580557511111,291.01527815111115,ALB
20,284.4132127739288,283.24160406904673,ALB
21,152.79556449032256,146.46566532668004,ALB
22,204.47233263011015,210.53968518095238,NOR
23,252.7397061647059,262.49789427904966,NOR
24,276.56250066666666,285.4583338666667,NOR
25,284.48333333333335,293.7062512,NOR
