Minisector,STR,ALO,Fastest
0,308.9109821259761,301.8591077687646,STR
1,204.1892292515679,219.57569845040737,ALO
2,135.21665878567177,142.63908545370438,ALO
3,221.35699445575827,221.50927533522335,ALO
4,160.40917217449118,164.7595637913364,ALO
5,181.24906005597407,184.35743431389798,ALO
6,257.6195943324174,254.55464854456142,STR
7,282.30541658666664,276.9852796546482,STR
8,290.34120240698525,285.3065295706278,STR
9,266.03728144308565,260.67278842412696,STR
10,253.33283686792566,242.03784926112272,STR
11,239.258745579038,237.27995684867724,STR
12,221.23703358807455,212.20272953835496,STR
13,134.08091698133939,133.72433996548256,STR
14,145.50588324398922,140.42402792230047,STR
15,168.7948622062835,182.77693706346855,ALO
16,254.06429315238094,251.18512522893798,STR
17,249.6890359635418,237.59998627728714,STR
18,110.92252632525442,114.66540827982685,ALO
19,191.661168638677,205.25270249004328,ALO
20,201.78501503449596,202.98781869984438,ALO
21,237.70281119539754,237.02377410684807,STR
22,276.1191782380247,265.4243291286349,STR
23,302.2046783015384,283.4294269636364,STR
24,320.1583455454125,295.1250599421849,STR
25,326.44545454545454,,STR
