Minisector,BOT,HAM,Fastest
0,251.72951297777777,252.09361830275554,HAM
1,281.39039569846756,281.57458325333334,HAM
2,174.66178816000001,171.96249462275216,BOT
3,172.9445411549941,169.97526149380494,BOT
4,261.64635821090263,261.19617634707777,BOT
5,277.21636587775635,264.3632597017811,BOT
6,234.84500096,219.183279052428,BOT
7,206.7024912271147,206.1551627698866,BOT
8,165.70928331956986,157.1873236097812,BOT
9,221.49320794074072,220.04887876923078,BOT
10,277.7098576074608,273.8818181818182,BOT
11,124.43788251097682,127.53026165830957,HAM
12,220.16944209382714,218.9455284167383,BOT
13,272.2607703945578,272.73636363636365,HAM
14,290.5961165061224,290.13520837333334,BOT
15,296.9260964491228,294.975,BOT
16,230.75666819000173,211.83489326765186,BOT
17,140.02344885581397,136.2913758139535,BOT
18,141.43351329626353,140.65402722956105,BOT
19,124.85521753935208,126.60190922857142,HAM
20,234.53974557407932,223.42261383442317,BOT
21,260.71985863896106,246.8592905805383,BOT
22,240.15180324548678,231.99624594739896,BOT
23,216.8538138638448,213.23858085925926,BOT
24,149.03046732,147.4552390404584,BOT
25,224.53333333333333,,BOT
