Minisector,PER,OCO,Fastest
0,282.8156804121301,284.28419855875853,OCO
1,241.32086097737005,242.36459073361263,OCO
2,267.8027777408238,267.6863896332362,PER
3,277.21957294552135,275.13158018245616,PER
4,127.10789773993712,125.51091211078577,PER
5,214.34733214717994,212.648322469696,PER
6,267.74008904820494,270.09444598704323,OCO
7,287.42852639160185,291.5650080463811,OCO
8,297.17156856470586,300.6281249333333,OCO
9,302.43571976576817,305.4210112694765,OCO
10,302.9841652799479,295.0032346118364,PER
11,110.97682282333173,106.66186717541507,PER
12,212.19543589382502,214.7312448724709,OCO
13,270.84614927423655,275.082431492951,OCO
14,281.0895786039642,270.7313000049967,PER
15,131.71344126712364,130.17323929702258,PER
16,201.7111303382221,207.22184003117235,OCO
17,257.9356028742013,260.3303524574587,OCO
18,254.15596695020741,247.04113160380953,PER
19,242.79909125673674,243.9093123530218,OCO
20,145.9183170881957,138.30958717276687,PER
21,188.3771388176517,199.5124167279138,OCO
22,176.87657023326895,167.18929560606728,PER
23,182.90625357033974,187.4969288777159,OCO
24,250.73488082285712,251.61548121656668,OCO
