Minisector,HAM,MAG,Fastest
0,311.46117472499526,309.8539604730718,HAM
1,246.5178905499423,236.42812732350885,HAM
2,138.99628692426256,137.11643635474715,HAM
3,221.26588459543876,222.28342783905782,MAG
4,265.74032112147955,265.02474284650594,HAM
5,291.4477286433559,289.9477764838692,HAM
6,306.953692432017,304.83624267192516,HAM
7,290.26810876026207,300.85715144457066,MAG
8,172.39197811677494,177.15267959088504,MAG
9,242.53696326850556,238.53545313688437,HAM
10,276.4653672822204,272.8653445881503,HAM
11,275.3205220976898,271.2309632266554,HAM
12,211.88191959493471,203.88523355048756,HAM
13,135.21227446657315,130.56101889796986,HAM
14,123.77259622301351,124.539820270881,MAG
15,167.80127360898624,168.4601001829273,MAG
16,126.25315804590618,122.31094880946932,HAM
17,234.81962690611712,230.07921118928516,HAM
18,192.07257551223805,196.17466885887958,MAG
19,160.85947241033924,160.5938913698181,HAM
20,246.66228867809298,248.6532017838193,MAG
21,277.9445606719974,277.0093522555453,HAM
22,294.6777654976717,296.19720238030203,MAG
23,306.30674619725994,315.9968180919391,MAG
24,311.40034397877275,327.0854166095238,MAG
25,312.3250002285714,329.4351463269901,MAG
