Minisector,ALB,STR,Fastest
0,284.6619971047619,275.1806340280435,ALB
1,303.1748266222222,292.638773020314,ALB
2,297.92567135710294,290.80450354004495,ALB
3,168.35976885005746,174.86419848939593,STR
4,128.02968048813926,125.92498700152915,ALB
5,243.23988364944913,238.27542931444881,ALB
6,283.3052033012194,277.9296648274173,ALB
7,287.94228517790475,280.91300756726434,ALB
8,187.38941330988297,187.33506461731693,ALB
9,152.0763385291583,147.07537438411137,ALB
10,259.61796339583555,252.76836609567567,ALB
11,293.5102610540241,286.57728594087615,ALB
12,306.3568573238726,299.58431969282617,ALB
13,289.2037110211347,280.84814513174837,ALB
14,299.8993701719683,292.19323950896603,ALB
15,297.90216675298797,295.53921142502253,ALB
16,259.2208002595752,257.38129782139856,ALB
17,234.81859795825727,227.91307656190477,ALB
18,280.1349294310323,273.6533924069936,ALB
19,298.3237002173364,291.99499995733333,ALB
20,294.86133329066666,297.26859323746487,STR
21,239.09784105928145,229.4207792202656,ALB
22,260.9623462338826,252.59057291833358,ALB
23,141.70110896619926,144.23064659047682,STR
24,226.3348595395792,211.38632442848325,ALB
25,,257.7166663111111,STR
