Minisector,VER,RIC,Fastest
0,276.411362108993,280.5654419974455,RIC
1,292.0867869777492,296.32293075839436,RIC
2,289.07419158919026,290.4524997184107,RIC
3,180.55895952739203,175.33583877773626,VER
4,134.22432221087053,127.58713310173503,VER
5,243.46106943649596,244.49395453910546,RIC
6,283.93614871147633,295.5614353605707,RIC
7,288.560725859125,298.13920794024835,RIC
8,176.78448245912585,169.09277674896893,VER
9,146.68220427366592,149.4276931828459,RIC
10,255.11088623455444,258.298110987137,RIC
11,286.1696521713598,290.09452951747875,RIC
12,296.04314179859824,294.9447452331349,VER
13,282.887447565974,281.5078565577618,VER
14,298.1290599952278,302.0253304173418,RIC
15,294.9832506907982,303.3247426636298,RIC
16,256.1231590871111,251.10250119493477,VER
17,240.67932612170512,231.26347415273358,VER
18,285.5513623265806,291.7868226934415,RIC
19,305.1211111111111,321.3155398228479,RIC
20,306.28666663860906,324.8928966955153,RIC
21,225.6102092267148,205.67194095896767,VER
22,259.63921641042276,255.18049196682784,VER
23,141.69023472508692,136.7224625474443,VER
24,224.71001448510123,224.1902446396755,VER
