Minisector,SAI,RUS,Fastest
0,229.1635366421578,231.18850057505736,RUS
1,275.9630004906667,282.95650048,RUS
2,288.81529487893386,296.7380987732802,RUS
3,293.9431819082251,305.0253623652174,RUS
4,264.9101764766338,259.12970198368174,SAI
5,162.06999251215282,160.0087392374616,SAI
6,255.15611252483401,261.31285425755334,RUS
7,270.13121690299823,273.6003060317172,RUS
8,212.4943962532213,204.21126240039803,SAI
9,215.30381957174117,220.8796720263728,RUS
10,179.0255325811966,167.46843610666667,SAI
11,220.8711698933155,222.68253338320412,RUS
12,203.68315075409515,193.46874104592783,SAI
13,216.74639062235835,199.9978981557423,SAI
14,222.6770623641207,214.4321289703746,SAI
15,174.74262648888887,169.00162376801376,SAI
16,240.78435893578413,247.07672548045977,RUS
17,276.5955480015238,285.5816669866667,RUS
18,287.52883031718426,297.75354345089653,RUS
19,281.21047476419045,279.171165568,SAI
20,129.97738987645675,125.52780571162714,SAI
21,162.90177650817841,145.35208663384398,SAI
22,151.54559111885726,153.9377786216149,RUS
23,201.6265467019567,191.31832077129076,SAI
24,145.82099657797957,139.43494063323928,SAI
25,180.46666666666667,,SAI
