Minisector,PER,SAI,Fastest
0,255.34620338424608,260.0499539909452,SAI
1,202.89763890883842,198.1130091696778,PER
2,219.06806743824274,225.27210098984767,SAI
3,262.24176055931383,265.0455343001728,SAI
4,276.51494147704693,279.76855399750025,SAI
5,218.13863036893432,208.53966381378476,PER
6,96.7030687912958,96.42133537789331,PER
7,183.47883317409554,197.89852144580115,SAI
8,271.20181316959355,283.58607282734806,SAI
9,296.20443402832564,315.61129241951386,SAI
10,307.7874821456368,328.5763977698772,SAI
11,305.43938157472087,312.1238447679049,SAI
12,109.99415889650402,109.98027593489068,PER
13,215.74586899780795,224.21376426790616,SAI
14,278.3764042369592,280.6937495587669,SAI
15,300.36967405714284,298.1588557575109,PER
16,214.48046212219168,213.55157495038628,PER
17,121.21467816700363,123.40578424383187,SAI
18,149.76658506301052,154.65603666179098,SAI
19,256.80032229641057,254.5081937719425,PER
20,149.70893224784913,154.73734454221434,SAI
21,127.36450944175816,126.68957517951154,PER
22,203.87460242358569,206.07455373116457,SAI
23,193.7968334547719,196.40453684514566,SAI
24,158.91890290730166,165.05066864926917,SAI
25,228.60251029890938,,PER
