Minisector,LEC,OCO,Fastest
0,307.6392123146667,304.9174046997865,LEC
1,316.90594258285716,310.555923187671,LEC
2,303.3071726242226,295.09052153489176,LEC
3,181.95886505489503,169.3357811165553,LEC
4,217.93992359009525,210.75450210319016,LEC
5,199.47740152900366,190.0715217826287,LEC
6,182.2984135526816,172.67603106689276,LEC
7,199.4610751687542,201.8541812071768,OCO
8,253.7989551884146,252.9265513628048,LEC
9,260.6596022044444,246.99453466586374,LEC
10,177.72626151798409,169.64497291618605,LEC
11,230.27694995063453,231.48649576981856,OCO
12,124.37582062862599,122.33832201593522,LEC
13,240.40527657235396,242.61117883743844,OCO
14,281.0375295639979,278.59789624778114,LEC
15,276.3986310215963,275.0052682971429,LEC
16,210.3025524514139,193.28266712973544,LEC
17,198.04163524777778,195.01840938492137,LEC
18,288.8936398217197,292.6547169309091,OCO
19,319.08102714612227,328.22621130745165,OCO
20,322.5955002453333,333.32395161955554,OCO
21,302.28658953815784,305.60093656935067,OCO
22,281.2209515784242,256.79735572726065,LEC
23,123.08452240487091,124.36543369153162,OCO
24,248.40994210044713,253.47658602267575,OCO
