Minisector,HAM,PIA,Fastest
0,257.385712067741,258.52060871657943,PIA
1,136.9730975483037,138.62242979744147,PIA
2,265.43262854965985,272.16297145609184,PIA
3,306.89416231624585,311.40926165376146,PIA
4,306.05071428571426,310.55629510715903,PIA
5,315.28193808349675,318.3803905797088,PIA
6,320.37213827838826,322.85011908266665,PIA
7,320.090902175224,321.6579349206349,PIA
8,204.34363068161312,203.5160739438164,HAM
9,205.61899004535613,202.25553631371764,HAM
10,182.72718569861271,175.92567802934283,HAM
11,172.53692745474447,179.81509718477128,PIA
12,259.9493295130795,259.2521349225889,HAM
13,279.80761850142983,276.04229842672004,HAM
14,287.0161950250441,286.21088623081295,HAM
15,273.25987286209175,268.23739344641007,HAM
16,178.2265798181322,180.57198101449754,PIA
17,196.71850791113187,202.3738972854975,PIA
18,244.29678819914102,247.93221079056195,PIA
19,286.49684639094204,292.1169111111111,PIA
20,305.39023333333336,311.95848899226297,PIA
21,311.5333770172093,317.905088985089,PIA
22,308.92554563492064,313.4972946656275,PIA
23,251.66416479259593,249.64850338916426,HAM
24,126.51728664351273,125.31386242859404,HAM
25,,234.47000192,PIA
