Minisector,GRO,KUB,Fastest
0,276.2545339834448,278.2223311213078,KUB
1,243.07196735454892,240.1629154578626,GRO
2,266.06566453916844,264.90117955440155,GRO
3,281.0531010521097,280.2075413430293,GRO
4,121.12929596963014,121.42461392463332,KUB
5,203.85664068649677,210.60787918006395,KUB
6,265.04046899870303,264.66653620805374,GRO
7,286.6523639996769,287.0203236773808,KUB
8,297.37340362420707,296.5557292,GRO
9,302.29536304520684,299.27407407407406,GRO
10,287.5798624,273.8216522803024,GRO
11,96.96209953602354,94.41377546880133,GRO
12,215.32466358075345,215.9095782961636,KUB
13,264.6047882830504,265.68204831023746,KUB
14,267.5370378074074,263.19233535923,GRO
15,130.53604761078105,125.24888148956195,GRO
16,200.1119827668725,201.7980094380676,KUB
17,250.65257007428073,254.55068114466994,KUB
18,252.92724672871503,249.9572155303154,GRO
19,240.32559505703298,248.0291907944224,KUB
20,151.30457100691535,148.8091430625152,GRO
21,181.86719614410833,186.3332270418846,KUB
22,171.47812014158643,161.75653929879144,GRO
23,189.54643130925822,185.40921279286778,GRO
24,247.25236123523078,247.79337129232172,KUB
25,,267.6187504,KUB
