Minisector,HAM,SAI,Fastest
0,292.83731493901416,301.0600342327821,SAI
1,312.18196454857144,325.58083311999997,SAI
2,306.05241153657437,307.5874981333333,SAI
3,180.51718063853133,177.84915252626223,HAM
4,228.69974093030015,219.47678651428572,HAM
5,205.82137736049083,203.1157094576425,HAM
6,192.95043267051065,189.62126287843137,HAM
7,220.0228447264368,213.416665611712,HAM
8,263.522188027898,256.8320926349206,HAM
9,258.7739100126984,257.0894876317033,HAM
10,177.11991556879653,172.61636592058144,HAM
11,246.09479981226667,239.4874649831066,HAM
12,118.7596599985724,117.49451633494294,HAM
13,231.66172054229014,230.38135977078252,HAM
14,280.05714240000003,273.63018438161436,HAM
15,291.25812330256093,277.4150979324675,HAM
16,210.95825894930874,203.35149125206976,HAM
17,186.68739840069907,188.14363584414374,SAI
18,274.51003694545454,271.3407599304348,HAM
19,301.77013765090396,294.0861216169533,HAM
20,313.9406248,304.2489581333333,HAM
21,314.381547784127,303.13931572571425,HAM
22,272.6429847536232,243.04992981138332,HAM
23,118.33427417645011,120.53985227288427,SAI
24,244.48471699010082,248.1284984502857,SAI
25,278.27142765714285,,HAM
