Minisector,VER,RIC,Fastest
0,252.8311068441294,247.56920962351936,VER
1,210.529693956523,208.9585182137211,VER
2,216.54428857631876,221.4674479990963,RIC
3,256.7081730871795,262.3096340091711,RIC
4,271.36693565290614,276.61933316266663,RIC
5,225.71824625287357,223.6628715538081,VER
6,101.72683054588343,96.09301438234718,VER
7,185.47883184439476,185.6173108917934,RIC
8,264.92266683733334,268.8539996586667,RIC
9,286.25533859845837,290.2630434782609,RIC
10,292.5151516121212,298.3159419826087,RIC
11,286.2042967295328,298.7953124888889,RIC
12,114.34627042474209,113.95303296318271,VER
13,214.25268872258064,212.15677036666668,VER
14,271.2246627848383,275.5893108957466,RIC
15,288.3675346666667,296.0413042782609,RIC
16,224.67060463136926,235.418935958076,RIC
17,126.69004799752724,125.94698767008678,VER
18,156.9448089058201,153.3250393073389,VER
19,249.0096153846154,253.4689883526601,RIC
20,161.29020950898658,162.01240430564783,RIC
21,134.84756438643845,128.71962739727715,VER
22,200.62421375100016,204.53421038511192,RIC
23,207.9855037930303,217.2951144409917,RIC
24,170.36406344,168.0546133736668,VER
25,228.8750016,228.78541760000002,VER
