Minisector,HUL,VER,Fastest
0,305.549846382399,296.0934237600945,HUL
1,322.51618420266664,305.97052637473683,HUL
2,332.1554896870799,310.44483753616163,HUL
3,309.95626845333334,302.78299319727887,HUL
4,160.9335234918927,173.4882000860805,VER
5,204.1394876779221,209.57909073156137,VER
6,234.66152955847167,246.24280780650037,VER
7,268.859847825989,272.48849376752906,VER
8,247.58481978412698,248.99228298008657,VER
9,154.39181742540882,161.68861902390535,VER
10,220.81348588738834,223.10889012575518,VER
11,122.41387053645066,129.6939197782616,VER
12,232.59666807926902,231.20088956686868,HUL
13,177.8286846216322,175.2952516835949,HUL
14,217.81629553421845,218.73241803483782,VER
15,240.91888621978126,245.568815554657,VER
16,269.97132533391056,267.2536702442713,HUL
17,301.6932950857143,289.99603191543105,HUL
18,147.3749261400816,150.98598188967372,VER
19,168.29021831619048,169.5547478252533,VER
20,135.34585724163708,140.56773020033046,VER
21,235.8452431985489,225.3746912308667,HUL
22,265.3771318056755,265.818386421164,VER
23,249.83956628502165,257.90906197492706,VER
24,282.3752518872188,282.93902010765544,VER
