Minisector,VER,RIC,Fastest
0,293.26730425650993,295.20354176,RIC
1,300.2896480169312,293.9333528819411,VER
2,170.24147444355668,158.76558393940746,VER
3,235.32646464667374,230.38242828985506,VER
4,277.65282029874686,283.83734335839597,RIC
5,294.2509818167525,309.3495798588235,RIC
6,302.4521164444444,315.4269956929972,RIC
7,168.66751765238095,166.0013725490196,VER
8,143.51877247749292,135.9154457392802,VER
9,254.583618031746,249.80674603174603,VER
10,285.2624523234179,281.68327099348375,VER
11,297.71412023703704,286.41203703703707,VER
12,153.63380298440683,151.69108813333332,VER
13,208.03266850133332,201.489215062756,VER
14,266.8702956045351,257.8727890140589,VER
15,206.61660743608198,203.6330471552402,VER
16,232.75471174492756,227.84420289855075,VER
17,215.45534008185925,219.67466641066665,RIC
18,252.4248310639456,248.79434194223185,VER
19,278.7232460912281,275.05614051929825,VER
20,291.5902440336406,287.75443673420483,VER
21,272.6227365561905,258.92154810947187,VER
22,233.58540260041408,226.2442702666667,VER
23,226.49303047458457,209.0557581197327,VER
24,271.60570268070177,263.30604186666665,VER
25,286.0250016,283.22500053333334,VER
